NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT04887623,Dynamics of Markers of Infection and Inflammation in Hospitalized Coronavirus Disease 2019 (COVID-19) Patients,https://clinicaltrials.gov/study/NCT04887623,RECRUITING,COVID-19 Respiratory Infection,,University Hospital Hradec Kralove,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04359927,Long-term Effects of Coronavirus Disease 2019 on the Cardiovascular System: CV COVID-19 Registry,https://clinicaltrials.gov/study/NCT04359927,ACTIVE_NOT_RECRUITING,Sars-CoV2|Covid19|Cardiovascular Diseases|Cardiovascular Risk Factor,,Hospital Clinic of Barcelona,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04482621,Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial,https://clinicaltrials.gov/study/NCT04482621,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: Decitabine|OTHER: Placebo Saline,Johns Hopkins University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06142201,A Real-World Study of JT001 for COVID-19,https://clinicaltrials.gov/study/NCT06142201,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: JT001,"Shanghai Vinnerna Biosciences Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05374577,Pulmonary Vascular Dysfunction as a Cause of Persistent Exertional Dyspnea After Coronavirus Disease (COVID-19),https://clinicaltrials.gov/study/NCT05374577,RECRUITING,COVID-19,OTHER: pulmonary vascular dysfunction|OTHER: pulmonary vascular function,University of Giessen,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05835128,Assessment of Long-term Sequelae of Coronavirus Disease 2019 (COVID-19) Pneumonia With Chest CT and Pulmonary Function Tests,https://clinicaltrials.gov/study/NCT05835128,ACTIVE_NOT_RECRUITING,COVID-19 Pneumonia|Sequelae of; Infection|Respiratory Function Impaired|SARS CoV 2 Infection|SARS-CoV 2 Pneumonia,,Centro Hospitalar Universitario do Algarve,Universidade do Algarve,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04551378,The Effect of COVID-19 Pandemic on Adolescent and Young Adult Cancer Patients and Survivors,https://clinicaltrials.gov/study/NCT04551378,RECRUITING,COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,OTHER: Quality-of-Life Assessment|OTHER: Survey Administration,M.D. Anderson Cancer Center,National Cancer Institute (NCI),ALL,ADULT,OBSERVATIONAL
NCT04494776,SARS-COV-2 Infection in Kidney Transplant Recipients: a Brazilian Multicenter Study,https://clinicaltrials.gov/study/NCT04494776,RECRUITING,SARS-CoV-2 Infection|Kidney Transplant Infection,,Helio Tedesco Silva Junior,Hospital do Rim e Hipertensão,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06923137,A Study to Learn About How Well Yearly Updates to the COVID-19 Vaccine Work to Protect People From COVID-19 and How Much Money People Spend on Healthcare for COVID-19,https://clinicaltrials.gov/study/NCT06923137,ACTIVE_NOT_RECRUITING,"COVID-19 SARS-CoV-2 Infection|COVID-19|COVID-19 Infection|Coronavirus Disease 2019 (COVID-19)|COVID-19 (Coronavirus Disease 2019)|COVID-19 Vaccination|COVID-19 Vaccines|SARS-CoV-2 Infection, COVID19|SARS-CoV-2 Infection, COVID-19",DRUG: BNT162b2,Pfizer,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05467917,ARMOR-Household: Characterizing Transmission of COVID-19 in Households of SARS-CoV-2 Index Cases,https://clinicaltrials.gov/study/NCT05467917,ACTIVE_NOT_RECRUITING,COVID-19|Households|SARS CoV 2 Infection,,Columbia University,Merck Sharp & Dohme LLC,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05191446,"Coronavirus Disease 2019 (Covid-19) Impact on Alcohol-related Liver Disease Patient Outcomes, Care and Alcohol Use",https://clinicaltrials.gov/study/NCT05191446,RECRUITING,Liver Diseases|Alcohol Use Disorder,BEHAVIORAL: Stepped alcohol intervention (SAT) to reduce unhealthy alcohol use|OTHER: Usual Care (UC),"University of California, San Francisco",National Institute on Alcohol Abuse and Alcoholism (NIAAA),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04987528,Pulmonary Fibrosis During Severe COVID-19 Pneumonia,https://clinicaltrials.gov/study/NCT04987528,ACTIVE_NOT_RECRUITING,Severe Acute Respiratory Syndrome Coronavirus 2|Acute Respiratory Distress Syndrome|Pulmonary Fibrosis,DIAGNOSTIC_TEST: Aminoterminal type III peptide of procollagen|DIAGNOSTIC_TEST: Lung computed tomography,Hôpital Européen Marseille,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05295264,Active Pregnancy. Mental and Emotional Health Care to Pregnant Woman During and After Coronavirus (COVID-19),https://clinicaltrials.gov/study/NCT05295264,RECRUITING,Mental Health Wellness|Emotional Problem,OTHER: Moderate exercise program,Universidad Politecnica de Madrid,"Hospital Severo Ochoa|Puerta de Hierro University Hospital|Hospital Universitario de Torrejón,Madrid|Hospital Clinic of Barcelona|Hospital Vall d'Hebron|Clinica Zuatzu",FEMALE,ADULT,INTERVENTIONAL
NCT04465474,"Coronavirus Disease 2019 (COVID-19) During Pregnancy: Prevalence of Seroconversion, Effect on Maternal and Perinatal Outcomes and Risk of Vertical Transmission (COVID-MAP)",https://clinicaltrials.gov/study/NCT04465474,RECRUITING,COVID-19,OTHER: Non Intervention,Chinese University of Hong Kong,"Peking University First Hospital|Hospital Universitario de Torrejón|Queen Mary Hospital, Hong Kong|Pamela Youde Nethersole Eastern Hospital|Queen Elizabeth Hospital, Hong Kong|United Christian Hospital|Kwong Wah Hospital|Princess Margaret Hospital, Hong Kong|Tuen Mun Hospital",FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT01904188,Clinical Microbial Species & Antibiotic Resistance ID in ED Patients Presenting With Infection - is Rapid ID Possible & Accurate?,https://clinicaltrials.gov/study/NCT01904188,RECRUITING,"Sepsis|Systemic Inflammatory Response Syndrome|Infection Mixed|Infection, Bacterial|Infection, Fungal|Infection, Coronavirus",DEVICE: Gene Z or other rapid diagnostic techniques developed in our lab (as of 2018 not using Gene Z - now using In-Dx along with other developed techniquesregularly),Michigan State University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04896606,SARS-CoV-2 CTLS for Mild to Moderate COVID-19 Disease,https://clinicaltrials.gov/study/NCT04896606,RECRUITING,Covid19,OTHER: Standard of Care|BIOLOGICAL: SARS-CoV2-CTLS,New York Medical College,Children's Hospital of Philadelphia|Medical College of Wisconsin|Nationwide Children's Hospital,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05778006,Multi-Center Registry for ME/CFS,https://clinicaltrials.gov/study/NCT05778006,RECRUITING,ME/CFS|CFS/ME|ME/CFS Following EBV-associated Infectious Mononucleosis|ME/CFS Following COVID-19,,Technical University of Munich,"Charite University, Berlin, Germany",ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04332016,COVID-19 Biological Samples Collection,https://clinicaltrials.gov/study/NCT04332016,RECRUITING,Infection Viral,OTHER: biological samples collection,"University Hospital, Bordeaux",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04871932,COVID-2019 Vaccine Immune Response Base on Single Cell Multi-Omics,https://clinicaltrials.gov/study/NCT04871932,RECRUITING,Immune System and Related Disorders,BIOLOGICAL: Recently Vaccination,RenJi Hospital,,ALL,ADULT,OBSERVATIONAL
NCT05445518,Jump Start Plus COVID-19 Support,https://clinicaltrials.gov/study/NCT05445518,ACTIVE_NOT_RECRUITING,Mental Health Wellness 1,BEHAVIORAL: Jump Start Plus COVID Support|BEHAVIORAL: Healthy Caregivers-Healthy Children (HC2),University of Miami,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05815485,"A Randomized, Double-Blind, Placebo-Controlled Phase 2/3 Study to Determine the Safety and Effectiveness of Azeliragon in the Treatment of Patients Hospitalized for Coronavirus Disease 2019 (COVID-19) or Pneumonia",https://clinicaltrials.gov/study/NCT05815485,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: Azeliragon|DRUG: Placebo,"The University of Texas Medical Branch, Galveston",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05765396,SARS-CoV-2/COVID-19 Study of Next Generation Non-Invasive Passive Detection Technologies,https://clinicaltrials.gov/study/NCT05765396,RECRUITING,COVID-19|SARS-CoV-2 Virus|COVID-19 Pneumonia|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|Corona Virus Infection|Influenza|RSV Infection,DEVICE: imPulse™ Systems (Una and TOR) infrasound-to-ultrasound e-stethoscope,The Geneva Foundation,"Brooke Army Medical Center|Uniformed Services University of the Health Sciences|Level 42 AI, Inc.",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05507671,The Role of BCG Vaccine in the Clinical Evolution of COVID-19 and in the Efficacy of Anti-SARS-CoV-2 Vaccines,https://clinicaltrials.gov/study/NCT05507671,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: BCG (Bacillus Calmette-Guérin) vaccine|OTHER: Placebo,Oswaldo Cruz Foundation,University of Sao Paulo|Federal University of Juiz de Fora,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06927622,Corona Virus Disease 2019 Cohort Study,https://clinicaltrials.gov/study/NCT06927622,RECRUITING,COVID-19 Pneumonia|COVID-19 Pandemic|COVID-19,,Shandong University,Qilu Hospital of Shandong University|Jinan Maternity and Child Health Care Hospital|Shandong Provincial Maternity and Child Health Care Hospital|The Second Hospital of Shandong University|Qianfoshan Hospital,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05656105,Positron Emission Tomography (PET) Imaging of Neuroinflammation in Patients with Neurological Dysfunction After Severe Acute Respiratory Syndrome Coronavirus 2 (SARS CoV 2) Infection,https://clinicaltrials.gov/study/NCT05656105,RECRUITING,SARS CoV-2 Post-Acute Sequelae,DRUG: DPA-714 PET/MRI,University of Alabama at Birmingham,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06033560,The Effect of Non-invasive Respiratory Support on Outcome and Its Risks in Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-COV-2)-Related Hypoxemic Respiratory Failure,https://clinicaltrials.gov/study/NCT06033560,ACTIVE_NOT_RECRUITING,COVID-19|Hypoxemic Respiratory Failure,"DEVICE: High flow nasal oxygen (HFNO, more than 15 L/min)","Amsterdam UMC, location VUmc",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06234956,"Open-label, Multi-centre, Non-Inferiority Study of Safety and Immunogenicity of BIMERVAX for the Prevention of COVID-19 in Adolescents From 12 Years to Less Than 18 Years of Age.",https://clinicaltrials.gov/study/NCT06234956,RECRUITING,SARS CoV 2 Infection,BIOLOGICAL: BIMERVAX,"Hipra Scientific, S.L.U","Veristat, Inc.|VHIR|Asphalion",ALL,CHILD,INTERVENTIONAL
NCT04445285,Phase 2 Trial Using rhDNase to Reduce Mortality in COVID-19 Patients With Respiratory Failure,https://clinicaltrials.gov/study/NCT04445285,RECRUITING,Covid19,DRUG: Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase)|DRUG: 0.9%sodium chloride,Jon Simmons,University of South Alabama,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06042764,SA55 Injection Phase II Study in the Treatment of Mild/Moderate COVID-19 Patients,https://clinicaltrials.gov/study/NCT06042764,RECRUITING,Infection of Upper Respiratory Tract Caused by 2019-nCoV,DRUG: SA55 Injection,"Sinovac Life Sciences Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05897203,Clinical Trial of Natural Therapeutics for COVID-19 and Other Acute Respiratory Viral Infections,https://clinicaltrials.gov/study/NCT05897203,RECRUITING,Acute Respiratory Infection,DRUG: TAZCOV|DRUG: Vidicine,Makerere University,"Makerere University Lung Institute|MRC/UVRI and LSHTM Uganda Research Unit|Directorate of Government Analytical Laboratories|Makerere University College of Veterinary Medicine, Animal Resources and Bio-security|Makerere University Biomedical Research Centre|Natural Chemotherapeutics Research Institute",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT06508320,A Clinical Study to Investigate the Safety and Immunogenicity in Relation to Product Attributes of mRNA-1083 (Severe Acute Respiratory Syndrome Coronavirus 2 [SARS-CoV-2] and Influenza Vaccine),https://clinicaltrials.gov/study/NCT06508320,ACTIVE_NOT_RECRUITING,Influenza|SARS-CoV-2,BIOLOGICAL: mRNA-1083,"ModernaTX, Inc.",,ALL,ADULT,INTERVENTIONAL
NCT05164744,Cardiac Magnetic Resonance Tissue Characterization in COVID-19 Survivors,https://clinicaltrials.gov/study/NCT05164744,RECRUITING,COVID-19 Pneumonia|COVID-19|COVID-19 Respiratory Infection|COVID-19 Acute Respiratory Distress Syndrome|COVID-19 Lower Respiratory Infection|COVID-19 Acute Bronchitis|Coronavirus Disease 2019,DIAGNOSTIC_TEST: Cardiac MRI|DIAGNOSTIC_TEST: Echocardiogram|DIAGNOSTIC_TEST: 6-minute walk test|DIAGNOSTIC_TEST: Questionnaire,Weill Medical College of Cornell University,"National Heart, Lung, and Blood Institute (NHLBI)",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05890521,Safety Study of COVID19 Vaccine on the Market,https://clinicaltrials.gov/study/NCT05890521,RECRUITING,COVID-19,BIOLOGICAL: Recombinant new coronavirus vaccine (CHO cell),"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",Hunan Provincial Center for Disease Control and Prevention|Guizhou Center for Disease Control and Prevention|Hainan Center for Disease Control & Prevention,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05977140,CDI-988 Safety Study in Healthy Participants,https://clinicaltrials.gov/study/NCT05977140,RECRUITING,Healthy Volunteers,DRUG: CDI-988|DRUG: Placebo,"Cocrystal Pharma, Inc.",Cocrystal Pharma Australia Pty Ltd.|Beyond Drug Development Pty Ltd.|Resolutum Global Pty Ltd.|Scientia Clinical Research Pty Ltd,ALL,ADULT,INTERVENTIONAL
NCT04352400,Efficacy of Nafamostat in Covid-19 Patients (RACONA Study),https://clinicaltrials.gov/study/NCT04352400,RECRUITING,COVID19,DRUG: Nafamostat Mesilate|DRUG: Placebo,University Hospital Padova,Yokohama City University|University of Zurich,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05436834,A Study to Evaluate the Safety and Immunogenicity of the mRNA COVID-19 Vaccines in Healthy Children Between 6 Months to Less Than 6 Years of Age,https://clinicaltrials.gov/study/NCT05436834,RECRUITING,SARS-CoV-2,BIOLOGICAL: mRNA-1273.214|BIOLOGICAL: mRNA-1273.815,"ModernaTX, Inc.",,ALL,CHILD,INTERVENTIONAL
NCT04863638,"A Immuno-bridging and Immunization Schedules Study of COVID-19 Vaccine (Vero Cell), Inactivated",https://clinicaltrials.gov/study/NCT04863638,ACTIVE_NOT_RECRUITING,Covid19,"BIOLOGICAL: 3-doses schedule 1 of COVID-19 Vaccine (Vero Cell), Inactivated|BIOLOGICAL: 3-doses schedule 2 of COVID-19 Vaccine (Vero Cell), Inactivated|BIOLOGICAL: 3-doses schedule 3 of COVID-19 Vaccine (Vero Cell), Inactivated|BIOLOGICAL: 2 doses of vaccine",China National Biotec Group Company Limited,Beijing Institute of Biological Products Co Ltd.,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04724720,Famotidine vs Placebo for the Treatment of Non-Hospitalized Adults With COVID-19,https://clinicaltrials.gov/study/NCT04724720,ACTIVE_NOT_RECRUITING,Covid-19,DRUG: Famotidine|DRUG: Placebo,Northwell Health,Cold Spring Harbor Laboratory,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04506632,Burden for STaff Working in the NHS,https://clinicaltrials.gov/study/NCT04506632,ACTIVE_NOT_RECRUITING,COVID-19|Mental Health Burden,,Sheffield Teaching Hospitals NHS Foundation Trust,University of Sheffield,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06175455,Diaphragm Dysfunction After COVID-19 as Determined by Dynamic Chest Radiography,https://clinicaltrials.gov/study/NCT06175455,RECRUITING,Long Covid19,DEVICE: dynamic chest radiography,"Nanfang Hospital, Southern Medical University",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06147063,A Randomized Trial Evaluating a mRNA-VLP Vaccine's Immunogenicity and Safety for COVID-19,https://clinicaltrials.gov/study/NCT06147063,ACTIVE_NOT_RECRUITING,COVID-19|SARS-CoV-2 Infection,BIOLOGICAL: AZD9838|BIOLOGICAL: Licensed mRNA vaccine|BIOLOGICAL: AZD6563,AstraZeneca,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05148871,Australian Phase 2b Study to Assess Effect of Dose Interval on Spikogen Covid-19 Vaccine,https://clinicaltrials.gov/study/NCT05148871,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: Spikogen/Covax-19,Vaxine Pty Ltd,Australian Respiratory and Sleep Medicine Institute|Cinnagen,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04444401,Registry on NEN Patients and COVID-19,https://clinicaltrials.gov/study/NCT04444401,RECRUITING,Neuroendocrine Tumors|COVID-19,,European Institute of Oncology,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04367805,COVID-19 Infection in Patients With Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT04367805,ACTIVE_NOT_RECRUITING,Hepatocellular Carcinoma|COVID-19,DIAGNOSTIC_TEST: nasopharyngeal Covid 19 RT-PCR,"Centre Hospitalier Universitaire, Amiens","Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|Hospices Civils de Lyon|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05279456,A Phase 3b/4 Randomised Trial of 3 Doses of Protein-based Covid-19 Vaccine (SpikoGen),https://clinicaltrials.gov/study/NCT05279456,ACTIVE_NOT_RECRUITING,COVID-19,BIOLOGICAL: Advax-CpG55.2 adjuvanted recombinant spike protein,Vaxine Pty Ltd,Australian Respiratory and Sleep Medicine Institute,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT05261139,EPIC-Peds: A Study to Learn About the Study Medicine Called PF-07321332 (Nirmatrelvir)/Ritonavir in Patients Under 18 Years of Age With COVID-19 That Are Not Hospitalized But Are at Risk for Severe Disease,https://clinicaltrials.gov/study/NCT05261139,RECRUITING,COVID-19,DRUG: nirmatrelvir|DRUG: ritonavir,Pfizer,,ALL,CHILD,INTERVENTIONAL
NCT05044780,Hyperspectral Analysis of Sweat Metabolite Biometrics for Real-Time Detection of COVID-19,https://clinicaltrials.gov/study/NCT05044780,RECRUITING,COVID-19,,National Cancer Institute (NCI),,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05266222,Respiratory Virus Sampling and Repository,https://clinicaltrials.gov/study/NCT05266222,RECRUITING,Influenza|COVID-19,,National Institute of Allergy and Infectious Diseases (NIAID),,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05781893,Basel Long COVID-19 Cohort Study and Digital Long COVID Substudy,https://clinicaltrials.gov/study/NCT05781893,RECRUITING,Post COVID-19 Condition (PCC),OTHER: Digital intervention (DiLCoS)|OTHER: Data collection,"University Hospital, Basel, Switzerland","State Secretariat for Education Research and Innovation, Switzerland|European Union's Horizon Europe research and innovation programme",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT06291857,A Study to Evaluate the Safety and Immunogenicity of COVID-19 Vaccine and Influenza Combination Vaccine,https://clinicaltrials.gov/study/NCT06291857,ACTIVE_NOT_RECRUITING,COVID-19,"BIOLOGICAL: CIC Vaccine Co-formulated tNIV2 , SARSCoV-2 rS and Matrix-M Adjuvant|BIOLOGICAL: Novavax COVID-19 Vaccine|BIOLOGICAL: tNIV Vaccine|BIOLOGICAL: Fluzone High Dose",Novavax,,ALL,OLDER_ADULT,INTERVENTIONAL
NCT05386472,A Study to Learn About the Study Medicine (Nirmatrelvir Plus Ritonavir) in Pregnant Women With COVID-19,https://clinicaltrials.gov/study/NCT05386472,ACTIVE_NOT_RECRUITING,COVID-19,DRUG: nirmatrelvir|DRUG: ritonavir,Pfizer,,FEMALE,ADULT,INTERVENTIONAL
NCT04746183,AGILE (Early Phase Platform Trial for COVID-19),https://clinicaltrials.gov/study/NCT04746183,ACTIVE_NOT_RECRUITING,Covid19,DRUG: CST-2: EIDD-2801|DRUG: CST-2: Placebo|DRUG: Nitazoxanide|DRUG: VIR-7832|DRUG: VIR-7831|DRUG: CST-5: Placebo|DRUG: Favipiravir|DRUG: Molnupiravir|DRUG: Paxlovid|DRUG: ALG-097558|DRUG: ALG-097558 and Remdesivir|DRUG: NHS standard of care as per COVID-19 treatment guidelines,University of Liverpool,Liverpool School of Tropical Medicine|Royal Liverpool University Hospital|University of Cambridge,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
